id,date,source,topic,claim,analysis,repeated_ids,repeated_count;;;
"3013,Apr 30 2018,News conference,Miscellaneous,""""""In a modern world, in this world, there's more human trafficking and slavery than at any time in the history of this world. It's hard to believe."""""",""Though human trafficking is a major issue in some regions of the world, experts and available evidence indicate trafficking for sexual exploitation is not a serious problem in the United States. A recent study funded by the Justice Department concluded the total number of juveniles in the sex trade in the United States was about 9,000 to 10,000. Trump says it is worse than ever before, but the statistics are guesstimates that should be viewed with skepticism. "",""3013, 2645, 2750, 2692, 0945, 0532, 0456, 0445, 0448, 0139"",10";;;
"3014,Apr 30 2018,News conference,Immigration,""""""Just look at our southern border and our weak and obsolete immigration laws. They are obsolete and they are weak and they are pathetic. And there's no country in the world that has laws like we do.....Our immigration laws in this country are a total disaster. They're laughed at all over the world. They're laughed at for their stupidity....And, you know, the Mexican laws are very tough on immigration, extremely tough."""""",""As for Mexico having “very strong border laws,” <a href=""""http://www.politifact.com/truth-o-meter/statements/2018/apr/02/donald-trump/donald-trump-base-comparison-us-mexico-border-laws/"""">PolitiFact reported</a> that the White House pointed to a 2010 Washington Times article as evidence — but the Mexican law was changed in 2011 to decriminalize the act of entering the country without documentation and to allow undocumented immigrants to use education and health services. Moreover, Mexico’s own southern border is much more porous than the U.S. southern border. "",""3014, 2682, 2815, 2830, 2690"",5";;;
"3015,Apr 30 2018,News conference,Foreign policy,""""""In seven years that deal will have expired, and Iran is free to go ahead and create nuclear weapons."""""",""Trump appears to be referring to """"termination day,"""" in Oct. 2025, when U.N. Security Council consideration of the Iranian nuclear deal will terminate and, beginning in 2026, Iran is free to conduct uranium enrichment activity using advanced centrifuges. But that does not mean Iran would be free to """"create nuclear weapons"""" because it would still be bound to protocols of the International Atomic Energy Agency. Two years earlier, in 2023, Iran is committed to ratify the IAEA's Additional Protocol, which is intended to significantly increase the IAEA's ability to verify the peaceful use of all nuclear material in States with comprehensive safeguards agreements. Moreover, under the agreement, Iran said it was bound by this commitment: “Iran reaffirms that under no circumstances will Iran ever seek, develop or acquire any nuclear weapons.”"",,0";;;
"3016,Apr 30 2018,News conference,Foreign policy,""""""We gave Iran $150 billion and $1.8 billion in cash -- Nigeria would like some of that -- $1.8 billion in cash and $150 billion. You know what we got? We got nothing. We got nothing."""""",""Trump always uses too high an estimate, $150 billion, and makes it sound like the United States cut a check to Iran. But this was always Iran’s money. Iran had billions of dollars in assets that were frozen in foreign banks around the globe because of international sanctions over its nuclear program. The Treasury Department estimated that once Iran fulfilled other obligations, it would have about $55 billion left. The Central Bank of Iran said the number was actually $32 billion."",""3016, 2983, 2924, 2903, 2908, 2721, 2375, 2089, 1989, 1471, 1394, 1015, 0896, 0061, 0046"",15";;;
"3017,Apr 30 2018,News conference,,""""""You know, this is an agreement that wasn't approved by too many people. And it's a horrible agreement for the United States."""""",""The nuclear agreement with Iran was negotiated by not only the United States, but Britain, France, Germany, European Union, Russia and China. It was endorsed by the United Nations Security Council. "",,0";;;
"3018,Apr 30 2018,News conference,Foreign policy,""""""He's [North Korea's Kim Jong Un] talking about no research, no launching of ballistic missiles, no nuclear testing. And he has lived up to that for a long period of time, a longer period of time than anybody has seen."""""",""North Korea's last nuclear test was Sept. 3, 2017 and its last ballistic missile test was Nov. 28, 2017, so not even six months. North has had longer periods without testing. Experts believe North Korea has now mastered key aspects of the technology, making it a good moment for a pause. "",,0";;;
"3019,Apr 30 2018,News conference,Foreign policy,""""""We give Nigeria well over $1 billion in aid every year."""""",""The United States is planning to give Nigeria about $419 million in aid in 2018, an amount that is due to drop to $350 million in 2019, <a href=""""https://foreignassistance.gov/explore/country/Nigeria"""">according to government statistics</a>. In 2014, the high point for aid to the country, the United States gave about $700 million. "",,0";;;
"3020,Apr 30 2018,News conference,Economy,""""""We have already started talking with the president about taking down the trade barriers -- very substantial barriers to the United States trading with Nigeria."""""",U.S. goods and services trade with Nigeria totaled an estimated $9 billion in 2016. Exports were $4.4 billion"; imports were $4.6 billion. The U.S. goods and services trade deficit with Nigeria was just $216 million in 2016.,,0;;
"3021,Apr 30 2018,News conference,Foreign policy,""""""For example, we recently sold Nigeria 12 U.S. A-29 Super Cutano aircraft -- it's a great aircraft -- in the first ever sale of American military equipment to Nigeria. These new aircraft will improve Nigeria's ability to target terrorists and protect civilians."""""",""The 12 A-29 Super Tucano aircraft -- Trump got the name wrong -- sold to Nigeria were built in Brazil by Embraer. There is a second production line is in Florida, in a partnership between Embraer and privately held Sierra Nevada Corp of Sparks, Nev., but it is a Brazilian plane. "",,0";;;
"3022,Apr 30 2018,Twitter,Miscellaneous,""""""I recently had a terrific meeting with a bipartisan group of freshman lawmakers who feel very strongly in favor of Congressional term limits. I gave them my full support and endorsement for their efforts. #DrainTheSwamp"""""",""Our colleague Robert Costa <a href=""""https://twitter.com/costareports/status/991029105033404417"""">reports</a> that """" term limits for congressional *staffers* was discussed by some lawmakers. But the idea was shelved when someone pointed out it wouldn't be best to make that a Constitutional amendment."""""",,0";;;
"2997,Apr 29 2018,Twitter,Miscellaneous,""""""Just got recent Poll - much higher than President O at same time....Well, much more has been accomplished!"""""",""It's not clear which poll Trump is referring to. But he often tweets about Rasmussen, a right-leaning poll that consistently rates Trump higher than most other polls. Obama had a rating of 47 percent on April 27, 2010, whereas Trump was also at 47 percent on April 27. In the 538 poll average, Obama was at 48 percent and Trump at 40 percent at the end of April in their second year in office."",,0";;;
"2958,Apr 28 2018,Twitter,Miscellaneous,""""""Allegations made by Senator Jon Tester against Admiral/Doctor Ron Jackson are proving false. The Secret Service is unable to confirm (in fact they deny) any of the phony Democrat charges which have absolutely devastated the wonderful Jackson family. Tester should resign. The great people of Montana will not stand for this kind of slander when talking of a great human being. Admiral Jackson is the kind of man that those in Montana would most respect and admire, and now, for no reason whatsoever, his reputation has been shattered. Not fair, Tester!"""""",""Tester led the public charge against the Jackson nomination to run the Department of Veterans Affairs and released a memo that contained unverified claims against the Jackson, based on interviews of people who worked with Jackson. But Trump ignores the fact many Republicans believed Jackson to be unqualified and that Tester's actions had the support of the Veterans Affairs Committee chairman, Johnny Isakson (R-Ga.)"",,0";;;
"2959,Apr 28 2018,Twitter,Economy,""""""Look forward to being in the Great State of Michigan tonight. Major business expansion and jobs pouring into your State. Auto companies expanding at record pace. Big crowd tonight, will be live on T.V."""""",""U.S. auto sales actually declined from 2016 to 2017. Michigan added a total of 17,000 from April 2017 to March 2018, according to the Current Population Survey, and actually lost jobs in November, December, January and February."",,0";;;
"2960,Apr 28 2018,Twitter,Miscellaneous,""""""Secret Service has just informed me that Senator Jon Tester’s statements on Admiral Jackson are not true. There were no such findings. A horrible thing that we in D.C. must live with, just like phony Russian Collusion. Tester should lose race in Montana. Very dishonest and sick!"""""",""Tester led the public charge against the Jackson nomination to run the Department of Veterans Affairs and released a memo that contained unverified claims against the Jackson, based on interviews of people who worked with Jackson. But Trump ignores the fact many Republicans believed Jackson to be unqualified and that Tester's actions had the support of the Veterans Affairs Committee chairman, Johnny Isakson (R-Ga.)"",,0";;;
"2961,Apr 28 2018,Prepared speech,Jobs,""""""Since the election, we've created more than three million jobs including 300,000 new jobs in manufacturing."""""",""Trump is counting jobs from Election Day, even though he did not take office until almost three months later.  At the time, about 2.5 million jobs had been created during his presidency. The number of manufacturing jobs created in his presidency is about 260,000."",""2961, 2701, 2668, 2749, 2626, 2503, 2560, 2649, 2511, 2445, 2367, 2239, 2218, 2283, 2205, 2182, 2152, 2011, 1968, 1925, 1904, 1761, 1837, 1805, 1689, 1608"",26";;;
"2962,Apr 28 2018,Prepared speech,Foreign policy,""""""I'll check the numbers because they'll say, oh, you misrepresented, but these numbers are close enough. They sold the site for [the London embassy] like $250 million. They think they are geniuses. They go out and buy a horrible location and they build a new embassy. That's the good news. The bad news, the embassy cost over a billion dollars. So, now what do we have? We have an embassy in a lousy location and I was supposed to cut the ribbon. I didn't do the deal. It was started by Bush and Obama. It was a Bush-Obama special, okay, but it could have been stopped by Obama. It would have been stopped by me."""""",""Trump, perhaps wary of planned protests if he visited London, came up with a phony excuse. While he blamed Obama, the decision to move the embassy was made and announced during the George W. Bush administration. The price that could be obtained for the old embassy was limited because it was named an historic building and thus cannot be significantly changed. Nevertheless, the entire cost-- about $1 billion, not $1.2 billion --  was financed through the sale of the existing chancery and other buildings. "",2037,1";;;
"2963,Apr 28 2018,Prepared speech,Jobs,""""""In our country, jobs are booming and confidence is soaring. We are at the top of the charts, and they are talking about us all over the world. They are talking about this incredible success."""""",Job growth under Trump has been at a slower annual pace than the last five years of President Obama's term.,,0";;;
